,1. open,2. high,3. low,4. close,5. volume
2009-09-28,440.9174,440.9174,440.9174,440.9174,50
2009-09-25,440.9174,440.9174,440.9174,440.9174,0
2009-09-24,440.9174,440.9174,440.9174,440.9174,0
2009-09-23,440.9174,440.9174,440.9174,440.9174,0
2009-09-22,440.9174,440.9174,440.9174,440.9174,200
2009-09-21,440.9174,440.9174,440.9174,440.9174,0
2009-09-18,440.9174,440.9174,440.9174,440.9174,0
2009-09-17,440.9174,440.9174,440.9174,440.9174,0
2009-09-16,440.9174,440.9174,440.9174,440.9174,0
2009-09-15,440.9174,440.9174,440.9174,440.9174,0
2009-09-14,440.9174,440.9174,440.9174,440.9174,10
2009-09-11,440.9174,440.9174,440.9174,440.9174,0
2009-09-10,440.9174,440.9174,440.9174,440.9174,0
2009-09-09,440.9174,440.9174,440.9174,440.9174,22
2009-09-08,440.9174,440.9174,440.9174,440.9174,0
2009-09-04,440.9174,440.9174,440.9174,440.9174,0
2009-09-03,440.9174,440.9174,440.9174,440.9174,0
2009-09-02,440.9174,440.9174,440.9174,440.9174,0
2009-09-01,440.9174,440.9174,440.9174,440.9174,0
2009-08-31,440.9174,440.9174,440.9174,440.9174,0
2009-08-28,440.9174,440.9174,440.9174,440.9174,0
2009-08-27,440.9174,440.9174,440.9174,440.9174,20
2009-08-26,440.9174,440.9174,440.9174,440.9174,0
2009-08-25,440.9174,440.9174,440.9174,440.9174,0
2009-08-24,440.9174,440.9174,440.9174,440.9174,0
2009-08-21,440.9174,440.9174,440.9174,440.9174,0
2009-08-20,440.9174,440.9174,440.9174,440.9174,0
2009-08-19,440.9174,440.9174,440.9174,440.9174,40
2009-08-18,440.9174,440.9174,440.9174,440.9174,10
2009-08-17,440.9174,440.9174,440.9174,440.9174,0
2009-08-14,440.9174,440.9174,440.9174,440.9174,10
2009-08-13,440.9174,440.9174,440.9174,440.9174,0
2009-08-12,440.9174,440.9174,440.9174,440.9174,0
2009-08-11,440.9174,440.9174,440.9174,440.9174,0
2009-08-10,440.9174,440.9174,440.9174,440.9174,21
2009-08-07,440.9174,440.9174,440.9174,440.9174,50
2009-08-06,440.9174,440.9174,440.9174,440.9174,0
2009-08-05,440.9174,440.9174,440.9174,440.9174,20
2009-08-04,440.9174,440.9174,440.9174,440.9174,0
2009-08-03,440.9174,440.9174,440.9174,440.9174,0
